menu_start_game_0|欢 迎 来 到 《 云 川 》 。 神 洲 六 域 宗 门 林 立 ， 灵 气 有 盛 衰 ， 机 缘 与 劫 难 并 行 。 你 将 从 一 名 小 修 士 开 始 ， 踏 上 修 仙 问 道 之 路 。
mno_continue|出 发 （ 继 续 ）
mno_go_back|返 回 上 一 步
menu_start_phase_2|选 择 你 的 出 身 地 域 。 不 同 地 域 会 影 响 初 始 关 系 与 附 近 势 力 。
mno_town_1|紫 霄 中 州 — — 太 清 盟 九 宗 所 在 ， 灵 气 最 为 浓 郁 ， 宗 门 林 立 ， 机 缘 与 风 险 并 存 。
mno_town_2|人 皇 九 州 — — 大 乾 皇 都 附 近 ， 香 火 气 运 充 沛 ， 凡 俗 繁 华 ， 修 士 与 凡 人 混 居 交 织 。
mno_town_3|东 溟 海 域 — — 蓬 莱 屿 外 海 ， 万 宝 楼 散 修 聚 集 地 ， 海 族 出 没 ， 奇 珍 灵 材 贸 易 繁 盛 。
mno_town_4|北 玄 北 原 — — 苦 寒 之 地 ， 天 魔 窟 势 力 边 缘 ， 极 阴 灵 气 ， 险 象 环 生 ， 适 合 特 殊 功 法 修 炼 。
mno_town_5|南 荒 南 疆 — — 密 林 火 山 ， 万 妖 山 脉 边 缘 ， 妖 族 出 没 ， 灵 植 丰 富 ， 体 修 与 猎 修 的 天 堂 。
mno_town_6|西 陲 古 域 — — 黄 沙 戈 壁 ， 上 古 遗 迹 遍 布 ， 灵 气 稀 薄 却 孕 育 奇 珍 ， 是 探 险 者 的 乐 土 。
menu_start_game_3|《 云 川 》 修 仙 世 界 已 就 绪 。 选 择 游 戏 模 式 ， 踏 入 神 洲 大 陆 。
menu_tutorial|你 进 入 了 训 练 场 ， 不 少 当 地 人 都 在 里 面 进 行 着 武 器 的 训 练 。 在 这 里 你 可 以 通 过 各 种 训 练 来 提 高 你 的 战 斗 技 巧 。
mno_go_back_dot|返 回 。
menu_reports|角 色 声 望 ： {reg5} ^ 荣 誉 级 别 ： {reg6} ^ 部 队 士 气 ： {reg8} ^ 部 队 上 限 ： {reg7} ^
mno_view_character_report|角 色 状 态 。
mno_view_party_size_report|部 队 上 限 。
mno_view_npc_mission_report|任 务 简 报 。
mno_view_weekly_budget_report|部 队 收 支 。
mno_view_morale_report|部 队 士 气 。
mno_lord_relations|按 照 关 系 查 看 已 认 识 的 领 主 。
mno_courtship_relations|个 人 问 题 。
mno_view_faction_relations_report|阵 营 关 系 。
mno_resume_travelling|继 续 游 历 神 洲 。
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|战 斗 结 束 。 {s1} 你 的 队 伍 杀 死 了 {reg5} 人 ， 敌 人 的 队 伍 杀 死 了 {reg6} 人 。 你 杀 死 了 {reg7} 人 。
menu_start_game_1|请 选 择 性 别 。 修 仙 之 路 不 问 男 女 ， 只 看 境 界 与 道 心 。
mno_start_male|男 修
mno_start_female|女 修
menu_start_character_1|你 的 修 炼 出 身 是 ？ 出 身 决 定 了 你 最 初 的 根 骨 与 机 缘 ， 却 不 能 决 定 你 的 大 道 终 点 。
mno_start_noble|宗 门 弟 子 — — 生 于 太 清 盟 麾 下 小 宗 ， 自 幼 习 练 基 础 功 法 ， 灵 根 尚 算 中 等 。
mno_start_merchant|坊 市 商 贾 之 后 — — 父 母 经 营 坊 市 ， 见 多 识 广 ， 以 灵 石 为 纽 带 游 走 各 势 力 间 。
mno_start_guard|散 修 子 弟 — — 父 母 皆 为 无 门 无 派 的 散 修 ， 闯 荡 江 湖 ， 以 命 换 命 。
mno_start_forester|南 荒 猎 人 之 后 — — 南 荒 密 林 边 缘 长 大 ， 以 猎 妖 兽 为 生 ， 擅 长 野 外 求 存 。
mno_start_nomad|人 皇 庭 贵 族 旁 系 — — 凡 人 帝 国 的 旁 系 贵 族 ， 香 火 气 运 充 沛 ， 灵 根 觉 醒 于 皇 庭 神 祠 。
mno_start_thief|魔 道 边 缘 人 — — 幼 年 生 于 天 魔 窟 势 力 范 围 ， 魔 气 污 染 ， 因 果 业 障 天 生 偏 重 。
menu_start_character_2|{s10} ^^ 你 的 早 年 修 炼 经 历 是 ？
mno_page|随 师 学 艺 — — 在 宗 门 护 法 长 老 或 散 修 前 辈 门 下 随 侍 ， 打 熬 根 基 ， 习 得 正 统 心 法 。
mno_apprentice|坊 市 帮 工 — — 在 灵 材 坊 市 中 打 工 ， 识 别 各 类 灵 材 药 草 ， 兼 习 一 门 炼 丹 初 阶 知 识 。
mno_stockboy|游 历 商 队 — — 随 坊 市 商 队 跑 遍 神 洲 各 域 ， 见 识 了 六 域 风 土 ， 积 累 了 人 脉 与 见 识 。
mno_urchin|流 浪 散 修 — — 无 人 管 教 ， 自 学 自 悟 ， 在 江 湖 摸 爬 滚 打 中 野 路 子 开 窍 。
mno_nomad|随 军 历 练 — — 跟 随 人 皇 庭 或 某 宗 门 的 护 法 队 ， 参 与 过 清 剿 妖 兽 或 剿 魔 的 实 战 行 动 。
menu_start_character_3|{s11} ^^ 踏 入 修 炼 界 前 夕 ， 你 经 历 了 一 段 决 定 性 的 际 遇 — —
mno_squire|立 志 入 宗 — — 发 誓 要 拜 入 太 清 盟 九 大 宗 门 之 一 ， 苦 练 武 道 ， 终 于 获 得 了 入 门 资 格 考 核 机 会 。
mno_lady|机 缘 奇 遇 — — 在 一 处 偏 僻 遗 迹 中 偶 得 一 枚 残 破 传 承 玉 简 ， 窥 见 了 功 法 的 皮 毛 ， 由 此 走 上 修 炼 之 路 。
mno_troubadour|大 劫 余 生 — — 遭 遇 魔 修 袭 杀 ， 侥 幸 逃 脱 ， 但 目 睹 了 实 力 差 距 ， 从 此 痛 定 思 痛 ， 决 心 走 上 修 炼 之 路 。
mno_student|宗 门 藏 经 阁 助 理 — — 在 某 宗 门 藏 经 阁 打 杂 多 年 ， 博 览 孤 本 功 法 ， 虽 无 师 承 ， 却 知 识 广 博 。
mno_peddler|坊 市 走 私 — — 倒 卖 灵 材 与 禁 制 丹 药 ， 积 累 了 第 一 桶 金 ， 也 学 会 了 在 夹 缝 中 求 存 的 智 慧 。
mno_craftsman|炼 器 学 徒 — — 在 器 修 铺 子 里 学 习 基 础 炼 器 之 术 ， 虽 未 入 门 ， 却 对 法 器 有 了 直 观 认 识 。
mno_poacher|山 野 猎 妖 — — 在 无 宗 门 势 力 的 灰 色 地 带 独 力 猎 杀 妖 兽 ， 以 妖 丹 换 取 修 炼 资 源 。
menu_start_character_4|{s12} ^^ 不 过 在 一 段 时 间 以 后 ， 一 切 都 发 生 了 变 化 。 ^^ 你 决 定 孤 身 一 人 去 远 方 冒 险 。 ^^ 让 你 做 出 这 个 举 动 的 原 因 是 … …
mno_revenge|私 人 恩 怨 。
mno_death|失 去 恋 人 的 痛 苦 。
mno_wanderlust|对 于 探 险 的 爱 好 。
mno_disown|从 家 中 被 驱 赶 了 出 来 。
mno_greed|对 于 权 力 与 财 富 的 渴 望 。
menu_choose_skill|{s13}
mno_begin_adventuring|设 定 完 毕 ， 你 拜 入 青 云 宗 ， 从 炼 气 小 修 开 始 踏 上 神 洲 修 行 路 。
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|你 驻 扎 于 此 ， 营 地 已 建 好 。 作 为 一 名 修 士 ， 你 可 以 在 此 闭 关 修 炼 ， 也 可 以 召 集 众 人 商 议 前 路 。
mno_camp_action|修 炼 与 事 务 。
mno_camp_wait_here|在 此 调 息 等 待 。
mno_camp_cheat|作 弊 啦 ！
menu_camp_cheat|选 择 作 弊 项 目 ：
mno_camp_cheat_find_item|查 找 一 件 物 品 … …
menu_camp_action|选 择 你 要 做 的 事 ：
mno_camp_recruit_prisoners|从 俘 虏 中 募 兵 。
mno_action_read_book|选 一 本 书 读 。
mno_action_rename_kingdom|重 命 名 你 的 王 国
mno_action_retire|从 冒 险 中 退 出 。
mno_camp_action_4|退 回 营 地 菜 单 。
menu_camp_recruit_prisoners|你 答 应 这 些 俘 虏 ， 如 果 他 们 加 入 你 的 话 ， 你 就 给 他 们 以 自 由 。 {s18}
mno_camp_recruit_prisoners_accept|接 受 。
mno_camp_recruit_prisoners_reject|拒 绝 。
menu_camp_no_prisoners|你 没 有 俘 虏 可 以 招 募 。
menu_camp_action_read_book|选 一 本 书 读 ：
mno_action_read_book_1|{s1} 。
mno_action_read_book_2|{s1} 。
mno_action_read_book_3|{s1} 。
mno_action_read_book_4|{s1} 。
mno_action_read_book_5|{s1} 。
mno_action_read_book_6|{s1} 。
mno_action_read_book_7|{s1} 。
menu_camp_action_read_book_start|{s1}
menu_retirement_verify|你 现 在 的 时 间 是 {reg0} 天 。 运 气 是 {reg1} 。 你 确 实 想 要 从 这 场 冒 险 中 退 出 吗 ？
mno_retire_yes|是 的 。
mno_retire_no|不 。
